Category,STATE/UT,Population in lakhhs,Rape - Incidents,Rape - Rate,Rape Percentage,Kidnapping & Abduction  -Incidents,Kidnapping & Abduction - Rate,Kidnapping & Abduction Percentage,Dowry Deaths  -Incidents,Dowry Deaths - Rate,Dowry Deaths - Percentage,Cruelty by Husband and Relatives - Incidents,Cruelty by Husband and Relatives - Rate,Cruelty by Husband and Relatives( - Percentage,Molestation - Incidents,Molestation - Rate,Molestation - Percentage,Sexual Harassment - Incidents,Sexual Harassment - Rate,Sexual Harassment - Percentage,Importation of Girls - Incidents,Importation of Girls - Rate,Importation of Girls - Percentage,Sati Prevention Act - Incidents,Sati Prevention Act - Rate,Sati Prevention Act - Percentage,Immoral Traffic Act - Incidents,Immoral Traffic Act - Rate,Immoral Traffic Act - Percentage,Indecent Representation of Women - Incidents,Indecent Representation of Women - Rate,Indecent Representation of Women - Percentage,Dowry Prohibition Act - Incidents,Dowry Prohibition Act _ Rate,Dowry Prohibition Act - Percentage,Total - Incidents,Total - Rate,Total - Percentage,Year
City,Ahmedabad,45.19,39,0.9,3.1,117,2.6,5.1,7,0.2,1.3,530,11.7,8.6,54,1.2,2.1,27,0.6,1.1,0,0,0,0,0,0,5,0.1,0.1,0,0,0,0,0,0,779,17.2,4,2001
City,Allahabad,10.5,7,0.7,0.6,39,3.7,1.7,7,0.7,1.3,64,6.1,1,20,1.9,0.8,88,8.4,3.7,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,1.5,230,21.9,1.2,2001
City,Amritsar,10.11,7,0.7,0.6,23,2.3,1,7,0.7,1.3,72,7.1,1.2,9,0.9,0.3,0,0,0,0,0,0,0,0,0,6,0.6,0.2,0,0,0,0,0,0,124,12.3,0.6,2001
City,Asansol,10.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2001
City,Bangalore,56.87,40,0.7,3.2,56,1,2.5,40,0.7,7.2,229,4,3.7,223,3.9,8.6,51,0.9,2.1,0,0,0,0,0,0,356,6.3,9.8,0,0,0,263,4.6,79.9,1258,22.1,6.4,2001
City,Bhopal,14.55,75,5.2,5.9,45,3.1,2,12,0.8,2.2,123,8.5,2,200,13.7,7.7,52,3.6,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,34.8,2.6,2001
City,Chennai,64.25,28,0.4,2.2,0,0,0,13,0.2,2.3,111,1.7,1.8,70,1.1,2.7,209,3.3,8.7,0,0,0,0,0,0,2397,37.3,66,0,0,0,0,0,0,2828,44,14.4,2001
City,Coimbatore,14.46,4,0.3,0.3,10,0.7,0.4,5,0.3,0.9,28,1.9,0.5,19,1.3,0.7,38,2.6,1.6,0,0,0,0,0,0,134,9.3,3.7,1,0.1,0.2,0,0,0,239,16.5,1.2,2001
City,Delhi (City),127.91,326,2.5,25.9,820,6.4,36,84,0.7,15.1,108,0.8,1.8,392,3.1,15.1,78,0.6,3.2,0,0,0,0,0,0,95,0.7,2.6,1,0,0.2,7,0.1,2.1,1911,14.9,9.7,2001
City,Dhanbad,10.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2001
City,Faridabad,10.55,11,1,0.9,37,3.5,1.6,9,0.9,1.6,53,5,0.9,16,1.5,0.6,184,17.4,7.6,0,0,0,0,0,0,5,0.5,0.1,0,0,0,0,0,0,315,29.9,1.6,2001
City,Hyderabad,55.34,37,0.7,2.9,39,0.7,1.7,24,0.4,4.3,746,13.5,12.1,118,2.1,4.6,27,0.5,1.1,0,0,0,0,0,0,31,0.6,0.9,427,7.7,95.1,6,0.1,1.8,1455,26.3,7.4,2001
City,Indore,16.39,50,3.1,4,33,2,1.4,21,1.3,3.8,100,6.1,1.6,141,8.6,5.4,45,2.7,1.9,0,0,0,0,0,0,2,0.1,0.1,0,0,0,0,0,0,392,23.9,2,2001
City,Jabalpur,11.17,64,5.7,5.1,15,1.3,0.7,12,1.1,2.2,39,3.5,0.6,33,3,1.3,37,3.3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.6,202,18.1,1,2001
City,Jaipur,23.24,28,1.2,2.2,155,6.7,6.8,16,0.7,2.9,338,14.5,5.5,105,4.5,4.1,0,0,0,0,0,0,0,0,0,13,0.6,0.4,0,0,0,1,0,0.3,656,28.2,3.3,2001
City,Jamshedpur,11.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2001
City,Kanpur,26.9,47,1.7,3.7,176,6.5,7.7,64,2.4,11.5,356,13.2,5.8,106,3.9,4.1,213,7.9,8.8,0,0,0,0,0,0,0,0,0,0,0,0,13,0.5,4,975,36.2,4.9,2001
City,Kochi,13.55,10,0.7,0.8,1,0.1,0,0,0,0,62,4.6,1,44,3.2,1.7,3,0.2,0.1,0,0,0,0,0,0,15,1.1,0.4,16,1.2,3.6,0,0,0,151,11.1,0.8,2001
City,Kolkata,132.17,19,0.1,1.5,78,0.6,3.4,6,0,1.1,207,1.6,3.4,165,1.2,6.4,37,0.3,1.5,2,0,6.5,0,0,0,25,0.2,0.7,0,0,0,0,0,0,539,4.1,2.7,2001
City,Lucknow,22.67,39,1.7,3.1,107,4.7,4.7,27,1.2,4.9,304,13.4,4.9,75,3.3,2.9,148,6.5,6.1,0,0,0,0,0,0,1,0,0,3,0.1,0.7,0,0,0,704,31.1,3.6,2001
City,Ludhiana,13.95,34,2.4,2.7,42,3,1.8,9,0.6,1.6,233,16.7,3.8,45,3.2,1.7,13,0.9,0.5,0,0,0,0,0,0,3,0.2,0.1,1,0.1,0.2,0,0,0,380,27.2,1.9,2001
City,Madurai,11.95,2,0.2,0.2,18,1.5,0.8,12,1,2.2,24,2,0.4,20,1.7,0.8,52,4.4,2.2,0,0,0,0,0,0,171,14.3,4.7,0,0,0,0,0,0,299,25,1.5,2001
City,Meerut,11.67,6,0.5,0.5,51,4.4,2.2,9,0.8,1.6,151,12.9,2.4,18,1.5,0.7,98,8.4,4.1,0,0,0,0,0,0,4,0.3,0.1,0,0,0,0,0,0,337,28.9,1.7,2001
